INDEX,JOURNAL,ISSN,2013/2014,2012,2011,2010,2009,2008
334,African Journal Of Aquatic Science,16085914,0.5,0.446,0.471,0.479,0,0
335,African Journal Of Biotechnology,16845315,0,0,0,0.573,0.565,0.547
336,African Journal Of Ecology,01416707,1,0.631,0.655,0.778,0.629,0.621
337,African Journal Of Herpetology,21564574,1.077,0.815,0.714,0,0,0
338,African Journal Of Marine Science,1814232X,1.057,0.932,0.98,1.229,1.52,1.312
339,African Journal of Microbiology Research,19960808,0,0,0.539,0.528,0.407,0.409
340,Afr J Pharm Pharmaco,19960816,0,0,0.839,0.5,0.667,0
341,African Journal of Psychiatry,19948220,0.727,0.871,1.068,0,0,0
342,African Journal Of Range & Forage Science,10220119,0.367,0.432,0.6,0.262,0,0
343,African Journal of Traditional Complementary and Alternative Medicines,01896016,0.56,0.518,0.707,0.457,0.317,0
344,African Natural History,23057963,0.111,0.111,0.25,0.438,0,0
345,African Zoology,15627020,0.848,0.746,0.9,1.018,0.746,0.437
346,Age And Ageing,00020729,3.107,3.816,3.09,2.719,3.131,3.052
347,Age,01619152,3.445,4.084,3.948,6.28,5.839,5.105
348,Ageing Research Reviews,15681637,7.628,5.953,6.174,9,5.622,6.209
349,Aggressive Behavior,0096140X,2.269,2.247,2.63,1.804,1.698,2.056
350,Aging Cell,14749718,5.939,5.705,6.265,7.148,7.554,7.791
351,Aging Clinical And Experimental Research,15940667,1.138,1.006,1.552,1.693,1.255,1.397
352,Aging Male,13685538,1.85,1.711,1.518,1.674,1.705,2.622
353,Aging & Mental Health,13607863,1.781,1.677,1.368,1.316,1.127,1.291
354,Aging-US,19454589,4.886,4.696,5.127,2.964,0,0
355,Agricultural Economics,01695150,1.085,1.03,0.769,1.329,0.673,0.484
356,Agricultural Economics-Zemedelska Ekonomika,0139570X,0.325,0,0,0,0.716,0
357,Agriculture Ecosystems & Environment,01678809,3.203,2.859,3.004,2.79,3.13,2.884
358,Agricultural And Food Science,14596067,1,0.793,0.923,0.597,0.925,0.697
359,Agricultural And Forest Entomology,14619555,1.556,1.467,1.596,1.484,1.554,1.377
360,Agricultural And Forest Meteorology,01681923,3.894,3.421,3.389,3.228,3.197,3.668
361,Agricultural History,00021482,0.324,0.114,0.312,0.258,0.375,0.097
362,Agriculture And Human Values,0889048X,1.359,1.355,1.54,1.054,1.123,1.186
363,Agricultural Sciences in China,16712927,0.82,0.527,0.449,0,0,0
364,Agricultural Systems,0308521X,2.453,2.504,2.899,2.907,2.11,1.708
365,Agr Tec,03652807,0,0,0,0,0.451,0
366,Agricultural Water Management,03783774,2.333,2.203,1.998,1.782,2.016,1.646
367,Agrarforschung Schweiz,16637852,0.03,0.169,0.138,0,0,0
368,Agrarforschung,1022663X,0,0,0.314,0.232,0.161,0
369,Agrartech Forsch-Agr,09487298,0,0,0,0,0.364,0
370,Agrekon,03031853,0.14,0.327,0.653,0.426,0,0
371,Agribusiness,07424477,0.516,0.763,0.672,0.406,0.354,0
372,Agro Food Industry Hi-Tech,17226996,0.294,0.234,0.225,0.238,0.191,0.189
373,Agrochimica,00021857,0.314,0.31,0.25,0.279,0.288,0.179
374,Agrociencia,14053195,0.049,0.312,0.374,0.294,0.264,0.232
375,Agroecology and Sustainable Food Systems,21683565,0,0,0,0,0,0
376,Agroforestry Systems,01674366,1.24,1.373,1.378,1.183,1.016,0.845
377,Agronomy Journal,00021962,1.542,1.518,1.794,1.797,1.416,1.532
378,Agronomy for Sustainable Development,17740746,2.841,3.573,3.33,2.972,1.65,1.649
379,Ai Communications,09217126,0.466,0.449,0.5,0.837,0.755,0.608
380,Ai Edam-Artificial Intelligence For Engineering Design Analysis And Manufacturing,08900604,0.553,0.407,0.786,0.64,0.636,0.477
381,Ai Magazine,07384602,0.5,0.726,0.808,0.525,1.018,0.691
382,Aiaa Journal,00011452,1.165,1.08,1.057,1.147,0.99,1.025
383,Aiche Journal,00011541,2.581,2.493,2.261,2.03,1.955,1.883
384,Aids Patient Care And Stds,10872914,3.576,3.09,2.411,2.333,2.683,2.392
385,Aids Read,10530894,0,0,0,0,0.612,0
386,Aids Research And Human Retroviruses,08892229,2.457,2.705,2.246,2.082,2.178,2.024
387,AIDS Research and Therapy,17426405,1.841,0,0,0,0,0
388,Aids Reviews,11396121,4.023,4.075,3.512,4.786,3.786,3.268
389,Aids,02699370,6.557,6.407,6.245,6.348,4.909,5.46
390,AIP Advances,21583226,1.59,1.349,0,0,0,0
391,Air Quality Atmosphere and Health,18739318,1.455,1.979,0,0,0,0
392,Aircraft Engineering And Aerospace Technology,17488842,0.48,0.441,0.195,0.372,0.076,0.183
393,AJAR-African Journal of AIDS Research,16085906,0.608,0.262,0.6,0.425,0.569,0
394,Aktuelle Neurologie,03024350,0,0.32,0.318,0.327,0.213,0.295
395,Aktuelle Rheumatologie,0341051X,0.056,0.097,0.083,0.243,0.127,0.084
396,Aktuelle Urologie,00017868,0.28,0.474,0.267,0.303,0.206,0.168
397,Alcatel Telecommunications Review,12677167,0,0,0,0,0,0.015
398,Alcheringa,03115518,0.899,1.171,0.926,1.578,0.851,0.512
399,Alcohol And Alcoholism,07350414,2.092,1.956,2.946,2.599,2.289,2.137
400,Alcoholism-Clinical And Experimental Research,01456008,3.311,3.421,3.343,3.468,3.392,3.166
401,Alcohol,07418329,2.038,2.255,2.468,2.423,2.407,2.363
402,Aldrichimica Acta,00025100,16.333,0,16.091,11.786,18.688,16.733
403,ALEA-Latin American Journal of Probability and Mathematical Statistics,19800436,0.638,0.564,0.381,0,0,0
404,Algal Research-Biomass Biofuels and Bioproducts,22119264,4.095,0,0,0,0,0
405,Algebra Colloquium,10053867,0.272,0.308,0.237,0.305,0.38,0.24
406,Algebraic and Geometric Topology,14722739,0.489,0.682,0.558,0.667,0.624,0.55
407,Algebra and Logic,00025232,0.488,0.493,0.359,0.455,0.479,0
408,Algebra & Number Theory,19370652,0.581,0.625,0.539,0.757,0,0
409,Algebras And Representation Theory,1386923X,0.719,0.554,0.595,0.532,0.516,0.776
410,Algebra Universalis,00025240,0.551,0.446,0.43,0.479,0.245,0.313
411,Algorithms for Molecular Biology,17487188,1.857,1.606,1.352,2.8,1.821,2.081
412,Algorithmica,01784617,0.567,0.488,0.604,1.239,0.917,0.825
413,Alimentary Pharmacology & Therapeutics,02692813,5.478,4.548,3.769,3.861,4.357,1.215
414,Allelopathy Journal,09714693,0.578,0.685,0.846,0.635,0.793,0.525
415,Allergologia Et Immunopathologia,03010546,1.58,1.229,1.043,0.779,0.63,0
416,Allergologie,03445062,0.297,0.336,0.258,0.143,0.12,0.175
417,Allergy Asthma & Immunology Research,20927355,3.084,2.653,1.913,0,0,0
418,Allergy And Asthma Proceedings,10885412,3.353,2.193,2.17,1.735,1.796,1.487
419,Allergy Clin Immunol,08381925,0,0,,0,0.615,0
420,Allergy,01054538,5.995,5.883,6.271,6.297,6.38,6.204
421,Allgemeine Forst Und Jagdzeitung,00025852,0.705,0.239,0.25,0.25,0.411,0.444
422,Alpine Botany,16642201,2.417,1.769,,0,0,0
423,Alternative Medicine Review,10895159,0,4.857,3.55,3.571,3.515,2.808
424,Alternative Therapies In Health And Medicine,10786791,1.143,0,0,1.215,0,2.25
425,ALTEX-Alternatives to Animal Experimentation,1868596X,3.63,4.093,0,4.429,0,0
426,Altex-Alternativen Zu Tierexperimenten,09467785,0,0,0,0,0.922,1.309
427,Alzheimer Disease & Associated Disorders,08930341,2.688,2.728,2.811,2.583,2.875,3.22
428,Alzheimers & Dementia,15525260,17.472,14.483,6.373,5.902,4.553,0
429,Alzheimers Research & Therapy,17589193,3.5,4.39,0,0,0,0
430,American Bee Journal,00027626,0.042,0.09,0.08,0.179,0.232,0.155
431,American Biology Teacher,00027685,0.369,0.39,0.133,0,0.263,0.308
432,American Ceramic Society Bulletin,00027812,0.818,0,0.522,0.177,0.268,0.324
433,American Family Physician,0002838X,1.818,1.611,0,1.547,1.702,1.94
434,American Fern Journal,00028444,0.429,0.404,0.407,0.518,0.4,0.371
435,American Heart Journal,00028703,4.555,4.497,4.651,5.052,4.357,4.285
436,American Journal Of Agricultural Economics,00029092,1.363,0.99,1.169,1.233,1.047,0.967
437,American Journal of Alzheimers Disease and Other Dementias,15333175,1.426,1.518,1.453,1.774,0,0
438,American Journal of Audiology,10590889,1.068,0.865,0.867,0,0,0
439,American Journal Of Bioethics,15265161,2.452,3.597,4.083,3.986,4,4.378
440,American Journal Of Botany,00029122,2.463,2.586,2.664,3.052,2.684,2.642
441,American Journal of Cancer Research,21566976,3.968,0,0,0,0,0
442,American Journal Of Cardiology,00029149,3.425,3.209,3.368,3.68,3.575,3.905
443,American Journal of Cardiovascular Drugs,11753277,2.203,2.069,1.77,2.026,1.964,0
444,American Journal Of Chinese Medicine,0192415X,2.625,2.281,1.979,1.383,1.422,1.058
445,American Journal Of Clinical Dermatology,11750561,2.519,1.844,1.708,1.963,1.82,1.554
446,American Journal Of Clinical Nutrition,00029165,6.918,6.504,6.669,6.606,6.307,6.74
447,American Journal Of Clinical Oncology-Cancer Clinical Trials,02773732,2.611,2.552,2.005,1.768,2.206,1.792
448,American Journal Of Clinical Pathology,00029173,3.005,2.881,2.598,2.504,2.473,2.715
449,American Journal Of Critical Care,10623264,1.6,1.413,1.656,1.593,1.658,2.043
450,American Journal Of Dentistry,08948275,1.062,1.057,0.757,1.145,1.314,1.13
451,American Journal Of Dermatopathology,01931091,1.426,1.418,1.197,1.263,1.295,1.477
452,American Journal Of Drug And Alcohol Abuse,00952990,1.47,0,0,0,0,0
453,American Journal Of Emergency Medicine,07356757,1.152,1.704,1.976,1.994,1.542,1.188
454,American Journal Of Enology And Viticulture,00029254,1.632,1.856,1.826,1.667,1.171,1.689
455,American Journal Of Epidemiology,00029262,4.975,4.78,5.216,5.745,5.589,5.454
456,American Journal Of Forensic Medicine And Pathology,01957910,0.624,0.883,0.883,0.646,0.713,0.523
457,American Journal Of Gastroenterology,00029270,9.213,7.553,7.282,6.882,6.012,6.444
458,American Journal Of Geriatric Psychiatry,10647481,3.519,4.131,3.638,3.566,3.353,4.022
459,American Journal Of Geriatric Cardiology,10767460,0,0,0,0.857,1.036,1.08
460,American Journal of Geriatric Pharmacotherapy,15435946,2.651,2.627,2.671,2.379,0,0
461,American Journal Of Health-System Pharmacy,10792082,2.205,1.984,1.962,2.219,2.097,1.763
462,American Journal Of Hematology,03618609,3.477,4.003,4.671,3.576,2.61,2.126
463,American Journal of Hospice & Palliative Medicine,10499091,1.347,1.233,1.153,0.969,0,0
464,American Journal Of Human Biology,10420533,1.928,2.335,2.267,2.021,2.121,1.976
465,American Journal Of Human Genetics,00029297,10.987,11.202,10.603,11.68,12.303,10.153
466,American Journal Of Hypertension,08957061,3.402,3.665,3.181,3.129,3.036,3.122
467,American Journal Of Industrial Medicine,02713586,1.59,1.973,1.625,1.75,1.721,1.489
468,American Journal Of Infection Control,01966553,2.326,2.731,2.396,3.036,3.013,2.678
469,American Journal Of Kidney Diseases,02726386,5.756,5.294,5.434,5.242,5.152,4.822
470,American Journal Of Managed Care,10880224,2.166,2.117,2.458,3.033,2.737,2.22
471,American Journal Of Mathematics,00029327,1.649,1.35,1.057,1.17,1.337,1.316
472,American Journal Of Medical Genetics Part A,15524825,2.048,2.304,2.391,2.505,2.404,2.555
473,American Journal Of Medical Genetics Part B-Neuropsychiatric Genetics,15524841,3.271,3.231,3.705,4.156,3.481,3.932
474,American Journal Of Medical Genetics Part C-Seminars In Medical Genetics,15524868,3.54,4.44,4.058,3.812,4.562,3.209
475,American Journal Of Medical Quality,10628606,1.776,1.471,1.638,1.707,1.5,1.365
476,American Journal Of The Medical Sciences,00029629,1.515,1.334,1.391,1.257,1.195,1.36
477,American Journal Of Medicine,00029343,5.302,4.768,5.43,5.115,4.466,5.105
478,American Journal Of Nephrology,02508095,2.646,2.623,2.539,2.658,3.481,3.164
479,American Journal Of Neuroradiology,01956108,3.675,3.167,2.928,3.464,3.296,2.745
480,American Journal Of Nursing,0002936X,1.319,1.389,1.119,1.007,0.685,1.046
481,American Journal Of Obstetrics And Gynecology,00029378,3.973,3.877,3.468,3.313,3.278,3.453
482,American Journal Of Ophthalmology,00029394,4.021,3.631,4.223,4.293,3.833,3.102
483,American Journal Of Orthodontics And Dentofacial Orthopedics,08895406,1.437,1.458,1.381,1.354,1.327,1.442
484,American Journal Of Orthopsychiatry,00029432,1.504,1.6,1.291,1.872,2.211,1.711
485,American Journal Of Otolaryngology,01960709,1.078,1.228,0.87,1.136,1.016,0.845
486,American Journal Of Pathology,00029440,4.602,4.522,4.89,5.224,5.673,5.697
487,American Journal Of Perinatology,07351631,1.597,1.574,1.316,1.118,1.126,1.158
488,American Journal Of Pharmaceutical Education,00029459,1.188,0,1.205,1.265,1.067,0.936
489,American Journal Of Physical Anthropology,00029483,2.514,2.481,2.824,2.693,2.756,2.353
490,American Journal Of Physical Medicine & Rehabilitation,08949115,2.012,1.731,1.581,1.762,1.556,1.695
491,American Journal Of Physics,00029505,0.804,0.782,0.729,0.791,0.779,0.831
492,American Journal Of Physiology-Cell Physiology,03636143,3.674,3.711,3.536,3.817,4.013,4.23
493,American Journal Of Physiology-Endocrinology And Metabolism,01931849,4.088,4.514,4.746,4.686,4.395,3.855
494,American Journal Of Physiology-Gastrointestinal And Liver Physiology,01931857,3.737,3.649,3.431,3.522,3.258,3.587
495,American Journal Of Physiology-Heart And Circulatory Physiology,03636135,4.012,3.629,3.708,3.88,3.712,3.643
496,American Journal Of Physiology-Lung Cellular And Molecular Physiology,10400605,4.041,3.523,3.662,4.137,4.043,3.924
497,American Journal Of Physiology-Regulatory Integrative And Comparative Physi,03636119,3.529,3.284,3.336,3.284,3.058,3.272
498,American Journal Of Physiology-Renal Physiology,1931857X,3.3,3.612,3.682,3.792,3.731,0
499,American Journal Of Potato Research,1099209X,0.951,1.086,1.234,1.222,0.667,0.604
500,American Journal Of Preventive Medicine,07493797,4.281,3.945,4.044,4.11,4.235,3.766
501,American Journal Of Primatology,02752565,2.136,2.459,2.221,1.98,1.565,1.681
502,American Journal Of Psychiatry,0002953X,13.559,14.721,12.539,12.759,12.522,10.545
503,American Journal Of Public Health,00900036,4.229,3.93,3.926,3.85,4.371,4.241
504,American Journal Of Reproductive Immunology,10467408,2.668,3.317,3.05,2.451,2.172,2.172
505,American Journal Of Respiratory Cell And Molecular Biology,10441549,4.109,4.148,5.125,4.426,4.319,4.477
506,American Journal Of Respiratory And Critical Care Medicine,1073449X,11.986,11.041,11.08,10.191,10.689,9.792
507,American Journal of Rhinology & Allergy,19458924,2.178,1.744,2.302,1.881,2.252,0
508,American Journal Of Roentgenology,0361803X,2.744,2.897,2.775,2.797,2.951,2.94
509,American Journal Of Science,00029599,3.929,3.6,2.716,3.045,2.284,2.27
510,American Journal Of Speech-Language Pathology,10580360,1.644,2.448,2.034,0,0,0
511,American Journal Of Sports Medicine,03635465,4.699,4.439,3.792,3.821,3.605,3.646
512,American Journal Of Surgical Pathology,01475185,4.592,4.868,4.352,4.106,4.062,4.02
513,American Journal Of Surgery,00029610,2.406,2.516,2.776,2.68,2.363,2.605
514,American Journal Of Therapeutics,10752765,1.127,1.29,1.487,1.604,0,0
515,American Journal of Translational Research,19438141,3.226,0,0,0,0,0
516,American Journal Of Transplantation,16006135,6.19,6.192,6.394,6.048,6.433,6.559
517,American Journal Of Tropical Medicine And Hygiene,00029637,2.736,2.534,2.592,2.446,2.795,2.45
518,American Journal Of Veterinary Research,00029645,1.214,1.348,1.269,1.413,1.528,1.28
519,American Laboratory,00447749,0.121,0.112,0.167,0.227,0.152,0.164
520,American Malacological Bulletin,07402783,0.843,1,1.219,0.948,0.551,0.375
521,American Mathematical Monthly,00029890,0.315,0.292,0,0,0.339,0.361
522,American Midland Naturalist,00030031,0.621,0.667,0.619,0.526,0.665,0.755
523,American Mineralogist,0003004X,2.059,2.204,2.169,2.026,1.859,1.962
524,American Museum Novitates,00030082,1.636,1.685,1.882,1.151,1.326,1.265
525,American Naturalist,00030147,4.454,4.552,4.725,4.736,4.796,4.67
526,American Scientist,00030996,0.643,0.829,0.938,0.756,0.911,1.186
527,American Statistician,00031305,0.877,0.976,0.96,0.981,1.252,1.233
528,American Surgeon,00031348,0,0.918,1.285,1.363,1.154,1.297
529,AMA-Agricultural Mechanization in Asia Africa and Latin America,00845841,0.057,0.062,0.054,0.034,0.04,0
530,Amazoniana-Limnologia Et Oecologia Regionalis Systemae Fluminis Amazonas,00656755,0,0,0,0,0.231,0.143
531,Ambio,00447447,2.973,2.295,2.025,1.705,2.486,2.092
532,Ambix,00026980,0.292,0.417,0.444,0.071,0,0
533,Ambulatory Pediatrics,15301567,0,0,0,2.491,1.6,1.846
534,Ameghiniana,00027014,1.169,0.866,0.986,0.871,0.862,0.741
535,Amino Acids,09394451,3.653,3.914,3.248,4.106,3.877,4.132
536,Amphibia-Reptilia,01735373,1.138,0.68,1.056,0.976,0.949,0.784
537,Amyloid-Journal Of Protein Folding Disorders,13506129,2.51,4.436,2.66,1.433,2.115,1.714
538,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,21678421,2.591,0,0,0,0,0
539,Amyotrophic Lateral Sclerosis,17482968,0,2.369,3.091,3.397,2.963,1.815
540,Anais Da Academia Brasileira De Ciencias,00013765,0.875,0.851,1.094,0.925,1.074,0.881
541,Anais Brasileiros De Dermatologia,03650596,0.866,0.618,0.554,0.337,0,0
542,Anales Del Jardin Botanico De Madrid,02111322,0.912,0.344,0.886,0,0,0
543,Anales De Pediatria,16954033,0.722,0.867,0.77,0.57,0.363,0
544,Anales de Psicologia,02129728,0.549,0.552,0.568,1.338,0.244,0
545,An Real Acad Nac F,16974271,0,0,0.14,0,0,0
546,Anales del Sistema Sanitario De Navarra,11376627,0.557,0.351,0.318,0.252,0.307,0
547,Analele Stiintifice ale Universitatii Ovidius Constanta-Seria Matematica,12241784,0.23,0.221,0.052,0.044,0,0
548,Analele Stiintifice ale Universitatii Al I Cuza din Iasi-Serie Noua-Matematica,12218421,0.108,0.188,0.25,0.076,0,0
549,Anadolu Kardiyoloji Dergisi-The Anatolian Journal of Cardiology,13028723,0.755,0.715,0.439,0.407,0.378,0
550,Anadolu Psikiyatri Dergisi-Anatolian Journal of Psychiatry,13026631,0.196,0.184,0.136,0.31,0,0
551,Anaerobe,10759964,2.364,2.022,2.409,2.448,1.633,1.561
552,Anaesthesia And Intensive Care,0310057X,1.47,1.396,1.279,1.128,1.108,0.848
553,Anaesthesia,00032409,3.846,3.486,2.958,3.008,2.855,2.178
554,Anaesthesist,00032417,0.743,0.847,0.987,0.729,0.891,0.876
555,Analysis and Applications,02195305,1.5,0.978,1.14,0.795,1.282,0
556,Analytical And Bioanalytical Chemistry,16182642,3.578,3.659,3.778,3.841,3.48,3.328
557,Analytical Biochemistry,00032697,2.305,2.582,2.996,3.236,3.287,3.088
558,Analytical Cellular Pathology-Cellular Oncology,22107177,1.758,1.771,0.917,,0,0
559,Analytical Chemistry,00032700,5.825,5.695,5.856,5.874,5.214,5.712
560,Analytica Chimica Acta,00032670,4.517,4.387,4.555,4.31,3.757,3.146
561,Analytical Letters,00032719,0.982,0.965,1.016,0.92,1.317,1.281
562,Analysis Mathematica,01333852,0.29,0.333,0.243,0.146,0,0
563,Analytical Methods,17599660,1.938,1.855,1.547,0,0,0
564,Analysis & PDE,1948206X,0.906,1.257,1.172,1.28,0,0
565,Analytical And Quantitative Cytology And Histology,08846812,0.58,0.6,0.413,0,0,0
566,Analytical Sciences,09106340,1.403,1.569,1.255,1.465,1.526,1.735
567,Analog Integrated Circuits And Signal Processing,09251030,0.401,0.553,0.592,0.452,0.408,0.591
568,Analyst,00032654,3.906,3.969,4.23,3.913,3.272,3.761
569,Anasthesie Intensivtherapie Notfallmedizin,09392661,0.335,0.388,0.413,0.232,0.195,0.194
570,Anasthesiologie & Intensivmedizin,01705334,0.424,0.5,0.862,0.774,0.873,0
571,Anatomy And Embryology,03402061,0,0,0,0,0,1.39
572,Anatomia Histologia Embryologia,03402096,0.742,0.882,0.899,0.646,0,0.573
573,Anatomical Record,19328486,1.53,1.343,1.473,1.4,1.49,1.569
574,Anat Sci Educ,19359772,0,0,0,2.976,0,0
575,Anatomical Science International,14476959,0.839,0.625,0.833,0.719,0.506,0.594
576,Andean Geology,07187106,1.532,1.375,0,0,0,0
577,Andrologia,03034569,1.172,1.748,1.546,1.244,1.152,1.3
578,Andrology,20472919,0,0,0,0,0,0
579,Anesthesia And Analgesia,00032999,3.422,3.3,3.286,3.274,3.083,2.59
580,Anesthesiology,00033022,6.168,5.163,5.359,5.486,5.354,5.124
581,Angewandte Chemie-International Edition,14337851,11.336,13.734,13.455,12.73,11.829,10.879
582,Angiogenesis,09696970,4.41,3.972,6.063,6.188,0,0
583,Angiology,00033197,2.37,1.647,1.511,0.992,1.097,1.122
584,Angle Orthodontist,00033219,1.277,1.184,1.207,1,0.937,1.166
585,Animal Behaviour,00033472,3.068,3.068,3.493,3.101,2.89,2.828
586,Animal Biodiversity And Conservation,1578665X,0.519,0.196,0,0,0,0
587,Animal Biology,15707555,0.614,0.767,0.721,0.879,1.069,0.879
588,Animal Biotechnology,10495398,0.636,0.882,0.927,0.818,0.814,0.759
589,Animal Cells and Systems,19768354,0.35,0.639,0.222,0.122,0.415,0
590,Animal Cognition,14359448,2.631,2.713,3.089,2.82,3.325,2.699
591,Animal Conservation,13679430,2.524,2.692,2.931,2.906,2.358,2.587
592,Animal Feed Science And Technology,03778401,2.086,1.608,1.691,1.72,1.866,1.882
593,Animal Genetics,02689146,2.21,2.584,2.403,2.203,2.292,2.459
594,Animal Nutrition and Feed Technology,09722963,0,0.355,0.323,0.188,0.353,0
595,Animal Production Science,18360939,1.028,1.218,0.986,0,0,0
596,Animal Reproduction Science,03784320,1.581,1.897,1.75,1.721,1.563,1.89
